Pdp Url,Brand,Product Name,Pack Size,Price Per Pack,Price per Kg or L,Promotion,Product Description,Ingredients,Legal Name
https://www.carrefour.fr/p/bonbons-chocolats-lait-cacahuete-m-ms-5000159492966,M&MS,Bonbons Chocolats Lait Cacahuète M&MS,le paquet de 550 g,5.19,9.44," Le 2ème à -40% ",D'irrésistibles billes de chocolat pleines de couleurs aussi fun à manger qu'à partager. L'alliance unique entre une cacahuète croquante et un délicieux chocolat au lait.,"Ingrédients: sucre, CACAHUÈTES, pâte de cacao, LAIT entier en poudre, beurre de cacao, amidon, matière grasse de palme, sirop de glucose, LAIT écrémé en poudre, émulsifiant (lécithine de SOJA), stabilisant (gomme arabique), matière grasse de karité, perméat de lactosérum (LAIT), matière grasse du LAIT, dextrine, agent d'enrobage (cire de carnauba), colorants (E100, E120, E133, E160a, E160e, E170),…",Cacahuètes (24%) enrobées de chocolat au lait (48%) et dragéifiées.
https://www.carrefour.fr/p/tablette-de-chocolat-lait-noisettes-entieres-milka-7622210439970,MILKA,Tablette de Chocolat Lait Noisettes Entières MILKA,Les 2 tablettes de 100 g,3.69,18.45," Prenez en 3 = Payez en 2 ","La tablette Milka noisettes : une délicieuse tablette au chocolat au Lait du Pays Alpin et aux noisettes entières. Les tablettes de chocolat Milka sont disponibles dans de délicieuses saveurs et différents formats, de la tablette standard à la tablette Mmmmax XL, de quoi satisfaire toutes vos envies !","Sucre, NOISETTES (20%), beurre de cacao, pâte de cacao, LAIT écrémé en poudre, lactosérum en poudre (de LAIT), BEURRE concentré, émulsifiant (lécithines de SOJA), pâte de NOISETTE, arôme. PEUT CONTENIR AUTRES FRUITS À COQUE ET BLÉ.",Chocolat au lait du pays alpin avec noisettes entières.
https://www.carrefour.fr/p/tablette-de-chocolat-lait-riz-croustillant-milka-7622210439994,MILKA,Tablette de Chocolat Lait Riz Croustillant MILKA,Les 2 tablettes de 100 g,3.17,15.85," Prenez en 3 = Payez en 2 ","Craquez pour Milka riz : Une tablette au chocolat au Lait du Pays Alpin et aux grains de riz soufflés croustillants Les tablettes de chocolat Milka sont disponibles dans de délicieuses saveurs et différents formats, de la tablette standard à la tablette Mmmmax XL, de quoi satisfaire toutes vos envies !","Sucre, beurre de cacao, riz (13 %), pâte de cacao, LAIT écrémé en poudre, lactosérum en poudre (de LAIT), BEURRE concentré, émulsifiant (lécithines de SOJA), sel, pâte de NOISETTE, extrait de malt d'ORGE, arôme. PEUT CONTENIR AUTRES FRUITS A COQUE ET BLÉ.",Chocolat au lait du pays alpin avec riz croustillant (15 %).
https://www.carrefour.fr/p/barres-chocolatees-lait-noisette-kinder-bueno-8000500290392,KINDER BUENO,Barres Chocolatées Lait Noisette KINDER BUENO,6 barres - 258g,4.35,16.86," Le 2ème à -60% ","KINDER BUENO c'est une barre délicieusement chocolatée au bon cœur au lait et aux noisettes. Croustillant, fondant, irrésistible... Faites-vous vraiment plaisir.","chocolat au LAIT 31,5% (sucre, beurre de cacao, pâte de cacao, LAIT écrémé en poudre, BEURRE concentré, émulsifiants : lécithines SOJA; vanilline), sucre, huile de palme, farine de FROMENT, NOISETTES broyées 10,8%, LAIT écrémé en poudre 8,5%, LAIT en poudre 5,5%, chocolat noir (sucre, pâte de cacao, beurre de cacao, émulsifiants : lécithines SOJA ; vanilline), cacao maigre, émulsifiants : lécithin…","Fines gaufrettes enrobées de chocolat au lait, fourrées lait et noisettes broyées."
https://www.carrefour.fr/p/tablette-de-chocolat-cookies-et-creme-feastables-1230000168847,FEASTABLES,Tablette de Chocolat Cookies et Crème FEASTABLES,la tablette de 60g,2.99,49.83," Vu en catalogue ",,,Feastables – Cookies & Crème - 60g
https://www.carrefour.fr/p/tablette-de-chocolat-noir-excellence-crepe-dentelle-lindt-3046920013789,LINDT,Tablette de Chocolat Noir Excellence Crêpe Dentelle LINDT,La tablette de 100g,2.69,26.90," Prenez en 3 = Payez en 2 ",Découvrez Lindt EXCELLENCE Pailleté Dentelle : une explosion de sensations dans un délicieux chocolat noir. La fusion parfaite d'un fin chocolat noir et de brisures exquises de la crêpe dentelle pour une texture croustillante. EXCELLENCE. Toute la finesse d'un chocolat noir d'exception.,"Sucre, pâte de cacao, crêpe dentelle 8% (farine de BLE, sucre, beurre LAITIER concentré, poudre de LAIT écrémé, malt d'ORGE, sel), beurre de cacao, beurre LAITIER concentré, émulsifiant (lécithine de SOJA)","Chocolat noir extra-fin, aux brisures de crêpe dentelle croustillante"
https://www.carrefour.fr/p/tablette-de-chocolat-noir-75-perou-bio-alter-eco-3700214614259,ALTER ECO,Tablette de Chocolat Noir 75% Pérou Bio ALTER ECO,La tabLette de 100g,2.89,28.90," Le 2ème à -50% ","Découvrez le chocolat noir Pérou à 75% de cacao Alter Eco et laissez-vous emporter par ses notes de fruits secs et de caramel. Bio et issue du commerce équitable, c'est la tablette de chocolat idéale pour consommer plus responsable du petit déjeuner au goûter.","Pâte de cacao (Pérou), sucre de canne, beurre de cacao, gousse de vanille. Cacao : 75% minimum. 100% des ingrédients sont issus de l'agriculture biologique et du commerce équitable contrôlé selon le référentiel Fair for Life. Plus d'informations sur www.fairforlife.org",Chocolat Noir
https://www.carrefour.fr/p/tablette-de-chocolat-lait-noisettes-et-amandes-pilees-krokola-3770024649062,KROKOLA,Tablette de Chocolat Lait Noisettes et Amandes Pilées KROKOLA,la tablette de 100g,2.95,29.50," Prenez en 3 = Payez en 2 ","Un goût unique, une expérience inoubliable ! L'association d'un délicieux chocolat au lait fondant à des noisettes et amandes pilées. Une bouchée qui vous replongera dans vos souvenirs les plus gourmands.",,"Chocolat lait, noisettes et amandes pilées"
https://www.carrefour.fr/p/bonbons-chocolats-lait-smarties-7613287403216,SMARTIES,Bonbons Chocolats Lait SMARTIES,le sachet de 375g,4.85,12.93," Le 2ème à -50% ","SMARTIES® vous accompagne depuis 1937 avec de délicieuses billes au chocolat. Retrouvez ces bonbons multicolores au bon goût de chocolat pour faire plaisir à vos enfants comme à toute la famille ! Composés de chocolat au pur beurre de cacao, ces petites billes craquantes contiennent jusqu'à 65% de chocolat au lait et se présentent sous huit couleurs différentes. Les couleurs de SMARTIES® sont d'or…","Ingrédients: Sucre, LAIT écrémé en poudre, pâte de cacao*, beurre de cacao*, sirop de glucose, farine de BLE, PETIT-LAIT en poudre, matière grasse de LAIT anhydre, matières grasses végétales (palme, karité), amidon, émulsifiant (lécithines), colorants (rouge de betterave, caroténoïdes, curcumine), concentré de spiruline, agents d'enrobage (cire de carnauba, cire blanche d'abeilles), concentrés de …",Bonbons de chocolat au lait (65%) dragéifiés
https://www.carrefour.fr/p/barres-chocolatees-lait-kitkat-3800020472125,KITKAT,Barres Chocolatées Lait KITKAT,"le sachet de 240,9g",4.75,19.72," 25% d'économies ","KITKAT® Mini MIX, c'est un assortiment de 5 recettes gourmandes KITKAT® Mini : chocolat au lait, chocolat blanc, noisettes, caramel salé, beurre de cacahuètes, et toujours une gaufrette croustillante à la texture légère, dorée au four. Déballez votre KITKAT® Mini, détachez les deux barres, cassez l'une en deux et dégustez votre break* ! La portion repère est de 2 KITKAT® Mini. Cacao approvisionné …","Ingrédients : sucre, farine de BLÉ, LAIT écrémé en poudre, matières grasses végétales (palme, karité), beurre de cacao¹, pâte de cacao¹, sirop de glucose, PETIT-LAIT filtré en poudre, matière grasse de LAIT anhydre, CACAHUÈTES grillées en poudre, éclats de NOISETTE, cacao maigre¹, émulsifiant (lécithines), sel, BEURRE, poudre à lever (carbonates de sodium), CRÈME, arômes naturels (ARACHIDES). ¹Bil…","Classique : gaufrette croustillante enrobée de chocolat au lait (68,9%)./Blanc: gaufrette croustillante avec un enrobage blanc (68,4%)./Noisettes (avec arôme naturel) :gaufrette croustillante enrobée de chocolat au lait (77,6%) et éclats de noisettes (3%)./Beurre de Cacahuètes (avec arôme naturel) : gaufrette croustillante fourrée à la pâte de cacahuètes (7,9%) et enrobée de chocolat au lait (68,9%)./Caramel salé :gaufrette croustillante enrobée de chocolat au lait (75,8%) et caramel salé (5%)."
https://www.carrefour.fr/p/barres-chocolatees-lait-kinder-4008400221823,KINDER,Barres chocolatées Lait KINDER,18 barres - 378g,5.19,13.73," 30% d'économies ","Kinder Maxi, c'est la barre au goût unique de chocolat Kinder que je connais depuis toujours. Retrouvez le temps d'une pause l'insouciance de votre enfance, en taille adulte !","Chocolat supérieur au LAIT 40% (sucre, LAIT en poudre, beurre de cacao, pâte de cacao, émulsifiants : lécithines SOJA, vanilline), sucre, LAIT écrémé en poudre, huile de palme, BEURRE concentré, émulsifiants : lécithines SOJA, vanilline.",KINDER MAXI : Chocolat supérieur au lait avec fourrage au lait
https://www.carrefour.fr/p/tablette-de-chocolat-noisette-kitkat-3800020491409,KITKAT,Tablette de chocolat noisette KITKAT,la tablette de 99g,1.99,20.10," PROMO : 20% ","Laissez-vous séduire par KitKat Tablette, une toute nouvelle expérience multisensorielle. L'iconique gaufrette croustillante KitKat, un coeur noisette onctueux, enrobés d'un généreux nappage au chocolat marbré. À consommer à la maison, seul ou à partager. Une délicieuse recette, à retrouver également avec un coeur cacao et un coeur caramel salé. HAVE A BREAK, HAVE A KITKAT**. *Une pause. **Un brea…","Ingrédients : Sucre, pâte da cacao*, matières grasses végétales (palme, karité), farine de BLE, LAIT écrémé en poudre, beurre de cacao*, PETIT-LAIT filtré en poudre, sirop de glucose, matière grasse de LAIT anhydre, pâte de NOISETTES 2.1%, cacao maigre*, émulsifiant (lécithines), sel, arôme naturel, poudre à lever (carbonate de sodium). Peut contenir : ARACHIDES. *Bilan massique certifié Rainfores…",Gaufrette croustillante enrobée de chocolat au lait (50.9%) et de chocolat (11.9%) avec un fourrage (20.3%) à la noisette aromatisé.
https://www.carrefour.fr/p/bonbons-mini-red-team-carambar-3664346352123,CARAMBAR,Bonbons Mini red team CARAMBAR,le pacquet de 350g,3.49,9.97," Le 2ème à -68% ","L'équipe des Mini Fruits Rouges est de sortie ! Un assortiment fruité et barré de Mini Carambar pour un moment 100% plaisir, à partager !","Ingrédients : Sirop de glucose (origine UE), sucre, huile de palme, acidifiant (acide citrique), gélatine, arômes naturels, denrée alimentaire colorante (jus concentré de carotte noire), émulsifiant (E471), colorant (charbon végétal médicinal). Peut contenir LAIT et FRUITS A COQUE.Fabriqué en France.",Confiseries aromatisées. Parfums assortis.
https://www.carrefour.fr/p/nougat-tendre-de-montelimar-reflets-de-france-3245390021700,REFLETS DE FRANCE,Nougat Tendre de Montélimar REFLETS DE FRANCE,le paquet de 200g,4.35,21.75,,,"Sucre, AMANDES 30%, miel 19%, sirop de glucose, pain azyme (fécule de pomme de terre, eau, huile de tournesol), blanc d'ŒUF, arôme naturel de vanille.",Nougat de Montélimar
https://www.carrefour.fr/p/bonbons-pastilles-de-vichy-reflets-de-france-3245390178695,REFLETS DE FRANCE,Bonbons pastilles de Vichy REFLETS DE FRANCE,le paquet de 230g,1.09,4.74,,,"Sucre (origine France), émulsifiant : sels de magnésium d'acides gras, sels minéraux extraits des eaux du bassin de vichy 0,3%, arôme naturel de menthe, sirop de glucose.",
https://www.carrefour.fr/p/tablette-de-chocolat-noir-74-bio-carrefour-bio-3270190127765,CARREFOUR BIO,Tablette de Chocolat Noir 74% Bio CARREFOUR BIO,la tablette de 100g,1.69,16.90," Le 2ème à -20% ",,"Pâte de cacao* (fèves de cacao d'origine Equateur et/ou Pérou et/ou Sao Tomé), sucre*, beurre de cacao*, émulsifiant : lécithines* (tournesol), extrait de vanille*. *biologique.",Chocolat noir issu de l'agriculture biologique. Pur beurre de cacao
https://www.carrefour.fr/p/tablette-de-chocolat-noir-noisettes-entieres-carrefour-extra-3560070776177,CARREFOUR EXTRA,Tablette de Chocolat Noir Noisettes Entières CARREFOUR EXTRA,la tablette de 200g,2.09,10.45," -15% Mardi PASS ",,"Pâte de cacao, sucre, NOISETTES entières torréfiées 25%, beurre de cacao, matière grasse de LAIT anhydre, émulsifiant : lécithines. Cacao : 50% minimum dans le chocolat noir.",Chocolat noir aux noisettes entières
https://www.carrefour.fr/p/nougat-blanc-de-montelimar-reflets-de-france-3245390021670,REFLETS DE FRANCE,Nougat Blanc de Montélimar REFLETS DE FRANCE,le sachet de 200g,3.99,19.95,,,"Sucre, AMANDES 30%, miel 19%, sirop de glucose, pain azyme (fécule de pomme de terre, eau, huile de tournesol), blanc d'OEUF, arôme naturel de vanille. Peut contenir des Traces d'autres FRUITS A COQUE.",
https://www.carrefour.fr/p/bonbons-marshmallows-carrefour-classic-3270190178057,CARREFOUR CLASSIC',Bonbons Marshmallows CARREFOUR CLASSIC',le sachet de 300g,1.49,4.97," -15% Mardi PASS ",,"Sirop de glucose-fructose, sucre, eau, dextrose, gélatine de porc, arôme naturel de vanille, colorant :rouge de betterave.",Confiseries guimauve
https://www.carrefour.fr/p/bonbons-menthe-sans-sucres-carrefour-3560070319107,CARREFOUR,Bonbons menthe sans sucres CARREFOUR,150 g e,1.99,13.27," -15% Mardi PASS ",,"Ingrédients : édulcorants : maltitols et glycosides de stéviol issus de stevia, arômes naturels de menthe.","Bonbons sans sucres avec édulcorants, à la menthe"
https://www.carrefour.fr/p/bonbons-cola-acid-carrefour-sensation-3560070821808,CARREFOUR SENSATION,Bonbons Cola'Acid CARREFOUR SENSATION,le sachet de 250g,1.39,5.56," -15% Mardi PASS ",,"Sucre, sirop de glucose, eau, gélatine de porc, acidifiants : acide tartrique {L(+)} - acide malique - malates de sodium, sirop de sucre caramélisé, arôme naturel.",Confiseries gélifiées acidulées aromatisées goût cola
https://www.carrefour.fr/p/bonbons-nounours-guimauve-carrefour-classic-3560070339495,CARREFOUR CLASSIC',Bonbons Nounours guimauve CARREFOUR CLASSIC',le paquet de 180g,1.25,6.25," -15% Mardi PASS ",,"Sirop de glucose-fructose, sucre, eau, beurre de cacao, LAIT entier en poudre, pâte de cacao, gélatine de porc, LACTOSERUM en poudre, émulsifiant : lécithines, arômes.",Bonbon de chocolat : Guimauve enrobée de chocolat au lait (30%)
