Product_id,Product_name,Brand,Regular_price,Selling_price,Promotion_description,Currency,Pdp_url,Breadcrumb,Product_description,Color,Size,Rating,Review,Features,Material_Care_instruction,Availability,Image_url
20648868,Big Boys Featherweight Twill Shorts,Polo Ralph Lauren,"4,483.00","2,286.00",https://www.macys.com/shop/product/polo-ralph-lauren-big-boys-featherweight-twill-shorts?ID=20648868,INR,https://www.macys.com/shop/product/polo-ralph-lauren-big-boys-featherweight-twill-shorts?ID=20648868,Kids>Shorts,These shorts are made with our most lightweight cotton twill and finished with our signature embroidered Pony.,['Classic khaki'],"['8', '10', '12', '14', '16', '18', '20']",,,"Imported,Signature embroidered Pony above the back right pocket.,Elastic waistband with an interior drawstring. Zip fly with a buttoned closure.,Two front angled pockets. Back right patch pocket.,Coloring may rub off onto fabrics and upholstery.","100% cotton,Machine washable",,"['https://slimages.macysassets.com/is/image/MCY/products/0/optimized/31829080_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/8/optimized/31829078_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/9/optimized/31829079_fpx.tif']"
20366051,"Toddler & Little Girls Printed Flutter-Sleeve Pullover Sweatshirt & Elastic-Waistband Printed Jogger Pants, 2 Piece Set   	",adidas,"4,710.00","3,532.00",25% off,INR,https://www.macys.com/shop/product/adidas-toddler-little-girls-printed-flutter-sleeve-pullover-sweatshirt-elastic-waistband-printed-jogger-pants-2-piece-set?ID=20366051,Kids>Activewear,"An allover animal print levels up the look of this two-piece adidas set. Small details like ruffles on the sleeves and subtle 3-Stripes balance things out. So warm and cozy, she'll want to wear this outfit all season long.",['Chalky Brown'],"['2T', '3T', '4T', '5', '6', '6X']",5,2,"Set includes: 1 sweatshirt and 1 pair of pants,Sweatshirt: ribbed crewneck; long sleeves with elastic cuffs; flutter trim at shoulders; logo detail at front; allover animal print,Pants: pulls on with elastic waistband; logo detail at left front; allover animal print; 3-Stripes at sides; elastic cuffs,Cotton/polyester,Machine washable,Imported","Machine washable,Cotton/polyester",,"['https://slimages.macysassets.com/is/image/MCY/products/7/optimized/32969287_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/9/optimized/32969289_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/0/optimized/32969290_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/1/optimized/32969291_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/8/optimized/32969288_fpx.tif']"
20648891,Big Boys Logo Double Knit Joggers,Polo Ralph Lauren,"6,295.00","3,211.00",49% off,INR,https://www.macys.com/shop/product/polo-ralph-lauren-big-boys-logo-double-knit-joggers?ID=20648891,Kids>Pants & Leggings,"Part of the season's baseball-inspired concept, these cotton-blend pants are defined by sporty details like striped trim and signature appliqu̩s that nod to Ralph Lauren's founding year.",['White'],"['S (8/10)', 'M (10/12)', 'L (14/16)', 'XL (18/20)']",,,"Side on-seam pockets. Pieced stripe along the outer side of each leg.,Imported,Interior drawstring waistband. Faux fly.,Ribbed cuffs","Machine washable,75% cotton, 25% polyester",,"['https://slimages.macysassets.com/is/image/MCY/products/8/optimized/31729258_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/6/optimized/31689096_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/8/optimized/31689098_fpx.tif']"
18383186,Big Boys Jumpman Air Embroidery T-Shirt,Jordan,"2,264.00","1,698.00",25% off,INR,https://www.macys.com/shop/product/jordan-big-boys-jumpman-air-embroidery-t-shirt?ID=18383186,Kids>Activewear,The iconic Jumpman logo is embroidered on the chest of this soft jersey T-shirt.,"['Washed Teal', 'Washed Teal', 'Sport Blue', 'White', 'Black', 'Carbon Heather', 'Gym Red']","['S', 'XL']",4.7,38,"Ribbed crewneck,Short sleeves,Jumpman logo embroidery at chest,Pullover style,Cotton/polyester,Machine washable,Imported","Machine washable,Cotton/polyester",,"['https://slimages.macysassets.com/is/image/MCY/products/3/optimized/32273873_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/5/optimized/32273875_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/8/optimized/32273878_fpx.tif']"
21249487,"Little & Big Girls Cropped Wide-Leg Jeans, Exclusively at Macy's",Epic Threads,"3,623.00","2,174.00",40% off,INR,https://www.macys.com/shop/product/epic-threads-little-big-girls-cropped-wide-leg-jeans-exclusively-at-macys?ID=21249487,Kids>Jeans & Denim,"Update her wardrobe with these cool jeans from Epic Threads, in a trend-right wide-leg silhouette.",['Moon Wash'],"['5', '6', '7', '8', '10', '12', '14', '16']",,,"Zip fly with button closure,Slant pockets at front; two back patch pockets,Whiskered at front,Macy's Exclusive,99% cotton, 1% elastane,Machine wash,Imported","Machine wash,99% cotton, 1% elastane",,"['https://slimages.macysassets.com/is/image/MCY/products/0/optimized/32426980_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/1/optimized/32426981_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/2/optimized/32426982_fpx.tif']"
16520295,Big Kids Court Borough Low Recraft Casual Sneakers from Finish Line,Nike,"6,068.00","4,981.00",18% off,INR,https://www.macys.com/shop/product/nike-big-kids-court-borough-low-recraft-casual-sneakers-from-finish-line?ID=16520295,Shoes,Lace up in a redesigned classic with the Nike Big Kids Court Borough Low Recraft Casual Shoes. This reimagined take on the Court Borough has a redesigned toe box and midfoot area that provides plenty of extra room for growing feet.,['White'],"['4', '5', '6', '6.5', '7']",4.5,112,"Durable synthetic leather upper,Classic laces,Padded collar,Redesigned toe box and midfoot area for growing feet,Cushioned insole,Flex groove rubber outsole,Style number- DV5456,Kids athletic footwear from Finish Line,Synthetic Upper, Rubber Sole,Wipe Clean,Imported",,,"['https://slimages.macysassets.com/is/image/MCY/products/6/optimized/32982336_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/3/optimized/32982343_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/7/optimized/32982337_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/8/optimized/32982338_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/9/optimized/32982339_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/0/optimized/32982340_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/3/optimized/28720263_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/4/optimized/28720264_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/5/optimized/28720265_fpx.tif']"
20507597,Big Boys Jumpman Woven Play Shorts,Jordan,"3,170.00","2,377.00",25% off,INR,https://www.macys.com/shop/product/jordan-big-boys-jumpman-woven-play-shorts?ID=20507597,Kids>Activewear,"Made of woven polyester poplin with added stretch for freedom of movement, these shorts from Jordan are a playtime must. The stretch waistband has a drawcord to help you get a comfy fit that feels just right, and pockets provide spots to stash small items.","['Gym Red', 'Gym Red', 'White', 'Black']","['S', 'M', 'L', 'XL']",4.7,33,"Encased elastic waistband with a drawcord,Side-seam pockets,Venting at sides of hem,Jumpman logo on left hem,86% polyester, 14% elastane,Machine washable,Imported","Machine washable,86% polyester, 14% elastane",,"['https://slimages.macysassets.com/is/image/MCY/products/7/optimized/31189997_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/8/optimized/31189998_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/9/optimized/31189999_fpx.tif']"
18186911,Big Boys Mesh Logo Shorts,Jordan,"2,536.00","1,775.00",30% off,INR,https://www.macys.com/shop/product/jordan-big-boys-mesh-logo-shorts?ID=18186911,Kids>Activewear,"The mesh body of these Jordan shorts provide a comfortable, breathable feel he can enjoy and that is matched in sporty fashion by their signature logo styling.","['Gym Red', 'Gym Red', 'Midnight Blue', 'Black']","['S', 'M', 'L', 'XL']",4.8,72,"Imported,Elastic waistband with drawcord,Two hand pockets,Jordan logo print at left leg","Polyester mesh,Machine wash",,"['https://slimages.macysassets.com/is/image/MCY/products/6/optimized/32143856_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/7/optimized/32143847_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/8/optimized/32143848_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/9/optimized/32143849_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/0/optimized/32143850_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/1/optimized/32143851_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/2/optimized/32143852_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/3/optimized/32143853_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/4/optimized/32143854_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/5/optimized/32143855_fpx.tif']"
21249467,Little & Big Girls Indigo Cotton Denim Ruffle Skirt,Epic Threads,"3,623.00","2,174.00",40% off,INR,https://www.macys.com/shop/product/epic-threads-little-big-girls-indigo-cotton-denim-ruffle-skirt-exclusively-at-macys?ID=21249467,Kids>Skirts,"A fun twist on classic denim, this stylish cotton skirt from Epic Threads features a cute ruffled hem.",['Millie Was'],"['XS (5/6)', 'S(7-8)', 'M (10/12)', 'L (14/16)']",4.3,3,"Zip fly with button closure; belt loops,Two front pockets,Ruffled hem,Denim,Macy's Exclusive,100% cotton,Machine wash,Imported","100% cotton,Machine wash",,"['https://slimages.macysassets.com/is/image/MCY/products/1/optimized/32428441_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/2/optimized/32428442_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/3/optimized/32428443_fpx.tif']"
18790360,Big Kids P-6000 Casual Sneakers from Finish Line,Nike,"3,623.00","8,151.00",40% off,INR,https://www.macys.com/shop/product/nike-big-kids-p-6000-casual-sneakers-from-finish-line?ID=18790360,,"A mash-up of Pegasus sneakers from the past, the Nike Big Kids P-6000 Casual Sneakers offer plenty of early 2000s running vibes and contemporary comfort for an absolute banger to cap off your everyday outfits. Featuring lightweight and breathable mesh on the upper with mixed-material overlays for stability and a textured look, these runners blend details from the fan-favorite Pegasus franchise and maintain unbelievable comfort to pay homage to an integral line in the Nike archives in an all-new style.","['Silver, Red']","['4', '4.5', '5', '5.5', '6.5']",4.6,43,"Mesh upper with synthetic and real leather overlays,Lace-up closure lets you tighten up the fit ,Synthetic leather Swoosh on the upper ,Premium stitch lines bring together the textured look,Bowerman series branding at the tongue,Foam midsole is lightweight and cushioned,Full rubber outsole for traction and grip,Synthetic leather, Textile upper, Rubber sole,Wipe clean,Imported",,,"['https://slimages.macysassets.com/is/image/MCY/products/1/optimized/31841731_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/3/optimized/31841733_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/4/optimized/31841734_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/5/optimized/31841735_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/6/optimized/31841736_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/2/optimized/31841732_fpx.tif']"
22476710,Big Boys MJ Brooklyn Fleece Pants	,Jordan,"4,076.00","3,261.00",20% off,INR,https://www.macys.com/shop/product/jordan-big-boys-mj-brooklyn-fleece-pants?ID=22476710,Kids>Activewear,"These cozy fleece pants from Jordan are a go-to for busy days and laid-back moments. With a soft, brushed interior, stretchy waistband, and roomy pockets, they're made to keep your kid comfortable from morning to night.","['Black', 'Black', 'Hemp', 'University Blue', 'Sport Blue', 'Carbon Heather']","['S', 'M', 'L', 'XL']",4.8,20,"Pulls on with encased elastic waistband with drawcord	,Side welt pockets; back patch pocket 	,Logo detail at left front,Ribbed cuffs ,Soft fleece knit fabric with a brushed inside and smooth outside ,80% cotton, 20% polyester,Machine wash,Imported","80% cotton, 20% polyester,Machine wash",,"['https://slimages.macysassets.com/is/image/MCY/products/4/optimized/33005224_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/5/optimized/33005225_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/6/optimized/33005226_fpx.tif']"
10496047,Big Kids' 6-Pk. Crew Socks,Jordan,"1,811.00","1,359.00",https://www.macys.com/shop/product/jordan-big-kids-6-pk.-crew-socks?ID=10496047,INR,https://www.macys.com/shop/product/jordan-big-kids-6-pk.-crew-socks?ID=10496047,Kids,Jordan delivers soft protection and comfort with this six-pack ankle socks. Each pair features cushioning at the toes and heels plus the addition of ventilation panels for the ultimate from class to court.,"['Gym Red, Black', 'Gym Red, Black', 'Black']","['7-9', '9-11']",4.6,95,"Six-pack of ankle socks with assorted knit-in logo or Jumpman designs at cuffs,Moisture-wicking, ventilation paneling at tops,Cushioning at toes and soles,Polyester, Elastane,Machine Washable,Imported","Machine Washable,Polyester, Elastane",,"['https://slimages.macysassets.com/is/image/MCY/products/9/optimized/16386979_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/8/optimized/16904038_fpx.tif']"
21047312,Little & Big Girls Sequin Patches Dress,Epic Threads,"4,981.00","2,989.00",40% off,INR,https://www.macys.com/shop/product/epic-threads-little-big-girls-sequin-patches-dress-exclusively-at-macys?ID=21047312,Kids>Dresses,Totally awesome sequin patches and embroidery add playful style to her look with this fun short-sleeve dress from Epic Threads.,['Medieval Blue'],"['XS (5/6)', 'S(7-8)', 'M (10/12)', 'L (14/16)', 'XL (18/20)']",,,"Round neckline,Short sleeves,Pulls on,Sequin patches, embroidery and screen-print details at front,Macy's Exclusive,74% polyester, 24% rayon, 2% spandex,Machine wash,Imported","74% polyester, 24% rayon, 2% spandex,Machine wash",,"['https://slimages.macysassets.com/is/image/MCY/products/6/optimized/32830006_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/4/optimized/32914014_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/5/optimized/32914015_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/9/optimized/32830009_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/0/optimized/32830010_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/1/optimized/32830011_fpx.tif']"
22476712,Big Boys MJ Brooklyn Pullover Hoodie ,Jordan,"4,529.00","3,623.00",20% off,INR,https://www.macys.com/shop/product/jordan-big-boys-mj-brooklyn-pullover-hoodie?ID=22476712,Kids>Activewear,"This cozy Jordan hoodie is made to keep up with your kid's active days. With a soft fleece feel inside and out, plus a roomy fit and bold logo detail, it's perfect for school, play, or just hanging out.","['Black', 'Black', 'Hemp', 'Lime Blast', 'University Blue', 'Sport Blue', 'Carbon Heather', 'Gym Red']","['S', 'M', 'L', 'XL']",5,2,"Attached hood	,Long sleeves with ribbed cuffs; dropped shoulders	,Jordan Jumpman logo at left chest,Kangaroo pocket at front,Soft fleece knit fabric with a brushed inside and smooth outside	  ,80% cotton, 20% polyester,Machine wash,Imported","Machine wash,80% cotton, 20% polyester",,"['https://slimages.macysassets.com/is/image/MCY/products/4/optimized/33010704_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/5/optimized/33010705_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/6/optimized/33010706_fpx.tif']"
6417698,Little Girls 2-Pc. Denim Skirtall & T-Shirt Set,Hello Kitty,"4,891.00","2,934.00",40% off,INR,https://www.macys.com/shop/product/hello-kitty-little-girls-2-pc.-denim-skirtall-t-shirt-set?ID=6417698,Kids>Dresses,"An sweet skirtall and T-shirt combine in this adorable set, featuring a Hello Kitty face at the skirtall bib and a cute dot and Hello Kitty print on the T-shirt.",['Denim Blue'],"['4', '5', '6', '6X']",4.8,168,"Skirtall: embroidered Hello Kitty face at bib; two pockets at hips; crisscross straps in back,T-shirt: crew neck; allover dot and Hello Kitty print,Skirtall: rayon/polyester/spandex; T-shirt: cotton/polyester,Machine washable,Imported","Machine washable,Skirtall: rayon/polyester/spandex; T-shirt: cotton/polyester",,"['https://slimages.macysassets.com/is/image/MCY/products/4/optimized/23327104_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/5/optimized/23327105_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/6/optimized/23327106_fpx.tif']"
22217178,Big Girls Cotton-Blend Fleece Wide-Leg Pants,Champion,"4,891.00","2,536.00",40% off,INR,https://www.macys.com/shop/product/champion-big-girls-cotton-blend-fleece-wide-leg-pants?ID=22217178,Kids>Activewear,"Give her an easy feel she'll love at school or home with these Champion pants. Cotton-blend fleece offers a soft touch, while a wide-leg fit keeps her on trend.","['Lavender', 'Lavender', 'Bubble Gum']","['S', 'M', 'L', 'XL']",,,"Pulls on; elastic waist,Deep utility pockets at front,60% cotton, 40% polyester,Machine wash,Imported","60% cotton, 40% polyester,Machine wash",,['https://slimages.macysassets.com/is/image/MCY/products/5/optimized/32738345_fpx.tif']
21377859,Little Boys 2-Piece Stacked Play Shorts and T-Shirt Set,Jordan,"3,985.00","2,989.00",25% off,INR,https://www.macys.com/shop/product/jordan-little-boys-2-piece-stacked-play-shorts-t-shirt-set?ID=21377859,Kids>Activewear,"Gear up your little one for playtime with the Jordan Jumpman Stacked Play Short Set, featuring a unique T-shirt and matching sporty shorts. This set ensures comfort and style for active adventures.","['Pine green', 'Pine green', 'Black']","['4', '5', '6', '7']",4.2,4,"Imported,Set includes: 1 T-shirt and 1 shorts,Shorts: Twill fabric, elastic waistband, color-blocked design with Jumpman logos on the legs","Machine wash,T-shirt: 60% cotton, 40% polyester; Shorts: 100% polyester",,"['https://slimages.macysassets.com/is/image/MCY/products/1/optimized/31765231_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/8/optimized/31765228_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/9/optimized/31765229_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/0/optimized/31765230_fpx.tif']"
21249766,Little & Big Girls Solid Flare Leggings,Epic Threads,"3,985.00","2,989.00",25% off,INR,https://www.macys.com/shop/product/epic-threads-little-big-girls-solid-flare-leggings-exclusively-at-macys?ID=21249766,Kids>Pants & Leggings,A super-cute flare-leg silhouette updates her comfy style with these solid pull-on leggings from Epic Threads.,[],[],3.9,9,"Pulls on with elastic waistband  ,Flare-leg silhouette ,95% cotton, 5% spandex,Machine wash,Imported","95% cotton, 5% spandex,Machine wash"," Sorry, this item is currently unavailable. ",['https://slimages.macysassets.com/is/image/MCY/products/5/optimized/32427185_fpx.tif']
21249908,"Little & Big Boys Black Baggy Jeans, Exclusively at Macy's",Epic Threads,"3,623.00","2,174.00",40% off,INR,https://www.macys.com/shop/product/epic-threads-little-big-boys-black-baggy-jeans-exclusively-at-macys?ID=21249908,Kids>Jeans & Denim,Upgrade his denim collection with these cool faded-black baggy jeans by Epic Threads.,['Bolt Wash'],"['5', '6', '7', '8', '10', '12', '14', '16']",,,"Adjustable waist; front zip and button closure ,Hip pockets; back pockets ,Faded black wash denim,Macy's Exclusive,99% cotton, 1% elastane,Machine wash,Imported","99% cotton, 1% elastane,Machine wash,Faded black wash denim",,"['https://slimages.macysassets.com/is/image/MCY/products/9/optimized/32715139_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/5/optimized/32415375_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/7/optimized/32415377_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/8/optimized/32415378_fpx.tif']"
20583533,Big Girls Halter Micro Soutache Social Dress,Rare Editions,"7,608.00","5,326.00",30% off,INR,https://www.macys.com/shop/product/rare-editions-big-girls-halter-micro-soutache-social-dress?ID=20583533,Kids>Dresses,"A big girls all over micro soutache, A-line social dress.",['Fuchsia'],"['7', '8', '10', '12', '14', '16']",4.3,17,"Back zip closure,Halter neck,Sleeveless,Sister style available,100% polyester,Hand wash,Imported","100% polyester,Hand wash",,"['https://slimages.macysassets.com/is/image/MCY/products/7/optimized/31128317_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/8/optimized/31294338_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/9/optimized/31294339_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/0/optimized/31294340_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/1/optimized/31294341_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/2/optimized/31294342_fpx.tif']"
20593766,Big Boys MJ Pull-On Twill Shorts ,Jordan,"3,623.00","2,174.00",40% off,INR,https://www.macys.com/shop/product/jordan-big-boys-mj-pull-on-twill-shorts?ID=20593766,Kids>Activewear,"Your young athlete will be ready to dominate the court in these Jordan shorts. Designed in durable twill fabric and featuring a comfy elastic waistband, handy pockets, and bold Jordan graphic, these shorts are the ultimate playground MVP uniform.",['Black'],"['S', 'M', 'L', 'XL']",,,"Pulls on with elastic waistband with drawcord closure	,Two hand pockets; one back pocket	 ,Jordan graphic at left side; Jumpman logo at right side,Twill fabric	,100% polyester,Machine wash,Imported","Machine wash,100% polyester",,"['https://slimages.macysassets.com/is/image/MCY/products/7/optimized/32281877_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/8/optimized/32281878_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/9/optimized/32281879_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/0/optimized/32281880_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/1/optimized/32281881_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/2/optimized/32281882_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/3/optimized/32281883_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/1/optimized/32839651_fpx.tif']"
22476717,Big Boys Colorblocked Logo Pullover Hoodie,Jordan,"3,623.00","5,434.00",40% off,INR,https://www.macys.com/shop/product/jordan-big-boys-colorblocked-logo-pullover-hoodie?ID=22476717,Kids>Activewear,"Upgrade his go-to with this bold Jordan hoodie. In soft fleece, the relaxed fit features colorblocking and a wordmark for unmistakable style.","['Black/Gray', 'Black/Gray', 'Sport Blue/Black']","['S', 'M', 'L', 'XL']",,,"Attached hood; pulls on,Imported,Colorblocked with wordmark at front,Kangaroo pocket,Long sleeves with drop shoulders and ribbed cuffs","60% cotton, 40% polyester,Machine wash",,"['https://slimages.macysassets.com/is/image/MCY/products/3/optimized/33302863_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/4/optimized/33302864_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/7/optimized/33302867_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/5/optimized/33302865_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/6/optimized/33302866_fpx.tif']"
21249507,"Little & Big Girls Indigo Coco Barrel Jeans, Exclusively at Macy's",Epic Threads,"3,985.00","2,391.00",40% off,INR,https://www.macys.com/shop/product/epic-threads-little-big-girls-indigo-coco-barrel-jeans-exclusively-at-macys?ID=21249507,Kids>Jeans & Denim,"Super-stylish, these trend-right barrel jeans from Epic Threads feature a colorblocked denim design.",['Coco Wash'],"['5', '6', '7', '8', '10', '12', '14', '16', '18', '20']",5,3,"Zip fly with button closure,5-pocket,Whiskered at front; colorblocked design,Macy's Exclusive,99% cotton, 1% elastane,Machine wash,Imported","Machine wash,99% cotton, 1% elastane",,"['https://slimages.macysassets.com/is/image/MCY/products/4/optimized/32427194_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/5/optimized/32427195_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/6/optimized/32427196_fpx.tif']"
22476715,Big Boys Jumpman Global Graphic T-Shirt,Jordan,"2,536.00","1,902.00",25% off,INR,https://www.macys.com/shop/product/jordan-big-boys-jumpman-global-graphic-t-shirt?ID=22476715,Kids>Activewear,"Put your little baller in this goes-with-anything T-shirt from Jordan, which features a gradient wordmark logo graphic. It's made of soft jersey in a classic short-sleeve silhouette with a tagless crewneck for fuss-free wear.","['White', 'White', 'Black']","['S', 'M', 'L', 'XL']",,,"Ribbed crewneck ,Short sleeves with logo detail at left sleeve,Large graphic on the front	 ,Tagless interior,Soft jersey knit fabric ,60% cotton, 40% polyester,Machine wash,Imported","60% cotton, 40% polyester,Machine wash",,"['https://slimages.macysassets.com/is/image/MCY/products/6/optimized/33010266_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/7/optimized/33010267_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/8/optimized/33010268_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/9/optimized/33010269_fpx.tif']"
21709234,"Little & Big Girls Wide-Leg Pull-On Cargo Pants, Exclusively at Macy's",Epic Threads,"3,985.00","2,391.00",40% off,INR,https://www.macys.com/shop/product/epic-threads-little-big-girls-wide-leg-pull-on-cargo-pants-exclusively-at-macys?ID=21709234,Kids>Pants & Leggings,Cool style meets comfort with these wide-leg woven pants complete with cargo pockets at the sides from Epic Threads.,"['Olivine', 'Olivine', 'Papyrus']","['XS (5/6)', 'S (7/8)', 'M (10/12)', 'L (14/16)', 'XL (18/20)']",,,"Pulls on; functional drawstring with encased elastic at waist,Two side cargo pockets; two back patch pockets,Wide-leg silhouette,Macy's Exclusive,Rayon,Machine washable,Imported","Rayon,Machine washable",,"['https://slimages.macysassets.com/is/image/MCY/products/6/optimized/32412776_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/8/optimized/32412778_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/0/optimized/32412780_fpx.tif']"
